,viewCount,name,viewAvg,n_issues,n_videos,issues
103,506863.0,Andrew Reynolds,168954.0,2.0,3.0,"1, 8"
104,50499.0,Peter Ramondetta,10099.0,3.0,5.0,"2, 3, 4"
105,419131.0,Aramis Hudson,139710.0,1.0,3.0,9
106,4577689.0,Paul Rodriguez,190737.0,8.0,24.0,"2, 3, 4, 5, 6, 7, 8, X"
107,170659.0,Wes Kremer,85329.0,1.0,2.0,6
108,6609.0,Cairo Foster,6609.0,1.0,1.0,2
109,99075.0,Albert Nyberg,49537.0,2.0,2.0,"4, 7"
110,13484.0,Clint Peterson,13484.0,1.0,1.0,1
111,422466.0,Louie Lopez,422466.0,1.0,1.0,8
112,84945.0,Johnny Layton,16989.0,3.0,5.0,"1, 3, 6"
113,16930.0,Mikey Taylor,16930.0,1.0,1.0,1
114,44039.0,Boo Johnson,44039.0,1.0,1.0,5
115,213982.0,Mike Piwowar,213982.0,1.0,1.0,8
116,177462.0,Walker Ryan,88731.0,1.0,2.0,9
117,405463.0,The Legion of Doom,405463.0,1.0,1.0,X
118,90964.0,Steve Berra,45482.0,2.0,2.0,"1, 3"
119,33028.0,Theotis Beasley,33028.0,1.0,1.0,5
120,29231.0,Greg Lutzka,9743.0,2.0,3.0,"2, 3"
121,193173.0,Benny Fairfax,21463.0,3.0,9.0,"1, 3, 4"
122,1803284.0,Tom Asta,138714.0,6.0,13.0,"4, 5, 6, 7, 8, X"
123,9515.0,Enrique Lorenzo,9515.0,1.0,1.0,4
124,87105.0,Heath Kirchart,17421.0,2.0,5.0,"2, 3"
125,2909744.0,Moose,290974.0,5.0,10.0,"5, 6, 7, 8, X"
126,3833879.0,Sewa Kroetkov,273848.0,4.0,14.0,"4, 6, 7, 8"
127,144962.0,CJ Tambornino,144962.0,1.0,1.0,7
128,74574.0,Weiger Van Wageningen,74574.0,1.0,1.0,7
129,28875.0,Josiah Gatlyn,7218.0,2.0,4.0,"2, 3"
130,37771.0,Austyn Gillette,37771.0,1.0,1.0,6
131,828959.0,Matt Berger,276319.0,1.0,3.0,8
132,11879.0,Lucas Puig,11879.0,1.0,1.0,2
133,83515.0,Frankie Heck,83515.0,1.0,1.0,9
134,228574.0,Chhandy Khon,228574.0,1.0,1.0,7
135,5553048.0,Shane O'neill,231377.0,6.0,24.0,"3, 4, 5, 6, 7, 8"
136,125947.0,Brian Peacock,125947.0,1.0,1.0,9
137,160129.0,Nick Matthews,80064.0,1.0,2.0,9
138,599698.0,Bastien Salabanzi,299849.0,2.0,2.0,"6, 8"
139,193925.0,Billy Marks,19392.0,5.0,10.0,"1, 3, 4, 5, 6"
140,921189.0,Trent McClung,184237.0,4.0,5.0,"5, 6, 7, 8"
141,860403.0,Ishod Wair,107550.0,4.0,8.0,"4, 5, 6, 8"
142,55319.0,Furby,55319.0,1.0,1.0,1
143,8425.0,Nick Trapasso,8425.0,1.0,1.0,2
144,23810.0,Marquise Henry,23810.0,1.0,1.0,5
145,61957.0,Keelan Dadd,30978.0,2.0,2.0,"5, 6"
146,3402736.0,Mike Mo Capaldi,136109.0,6.0,25.0,"1, 3, 4, 5, 6, 7"
147,26817.0,Lem Villemin,26817.0,1.0,1.0,4
148,15688.0,Danny Supa,15688.0,1.0,1.0,1
149,549568.0,Felipe Gustavo,109913.0,4.0,5.0,"4, 5, 6, 8"
150,1626054.0,Torey Pudwill,101628.0,7.0,16.0,"2, 3, 4, 5, 6, 8, X"
151,62266.0,Chris Roberts,62266.0,1.0,1.0,1
152,662148.0,Trevor McClung,662148.0,1.0,1.0,8
