"Hugo_Symbol"	"mut_count"	"missense_mut_count"
"210"	"ADCK4"	1	1
"211"	"ADCK5"	1	1
"212"	"ADCY1"	3	3
"213"	"ADCY10"	1	0
"214"	"ADCY3"	2	2
"215"	"ADCY4"	2	1
"216"	"ADCY5"	5	5
"217"	"ADCY6"	1	1
"218"	"ADCY7"	4	4
"219"	"ADCY8"	4	4
"220"	"ADCY9"	5	4
"221"	"ADCYAP1R1"	3	0
"222"	"ADD1"	2	2
"223"	"ADD2"	2	1
"224"	"ADD3"	2	2
"225"	"ADH1A"	1	1
"226"	"ADH6"	1	1
"227"	"ADH7"	2	2
"228"	"ADHFE1"	1	1
"229"	"ADK"	1	0
"230"	"ADM2"	1	0
"231"	"ADNP"	4	4
"232"	"ADNP2"	1	1
"233"	"ADORA1"	1	1
"234"	"ADORA3"	2	2
"235"	"ADPGK"	2	1
"236"	"ADPRH"	3	2
"237"	"ADPRHL2"	1	1
"238"	"ADRA1A"	2	2
"239"	"ADRA1B"	1	0
"240"	"ADRA2B"	1	1
"241"	"ADRBK1"	1	1
"242"	"ADRBK2"	1	1
"243"	"ADRM1"	1	1
"244"	"ADSL"	2	2
"245"	"AEBP1"	6	6
"246"	"AFAP1L1"	1	1
"247"	"AFF1"	3	2
"248"	"AFF2"	14	10
"249"	"AFF3"	4	4
"250"	"AFF4"	4	4
"251"	"AFG3L2"	2	2
"252"	"AFM"	1	1
"253"	"AFP"	1	1
"254"	"AFTPH"	2	2
"255"	"AGAP1"	1	1
"256"	"AGAP11"	1	1
"257"	"AGAP2"	1	1
"258"	"AGAP3"	3	3
"259"	"AGAP5"	1	1
"260"	"AGAP6"	1	1
"261"	"AGAP7"	3	1
"262"	"AGBL1"	2	1
"263"	"AGBL2"	2	2
"264"	"AGBL3"	3	3
"265"	"AGBL5"	1	0
"266"	"AGFG2"	3	2
"267"	"AGGF1"	4	4
"268"	"AGK"	2	2
"269"	"AGL"	3	2
"270"	"AGMAT"	1	1
"271"	"AGPAT1"	1	0
"272"	"AGPAT3"	2	2
"273"	"AGPAT5"	2	0
"274"	"AGPAT6"	1	1
"275"	"AGPHD1"	1	1
"276"	"AGPS"	1	1
"277"	"AGT"	3	3
"278"	"AGTPBP1"	3	2
"279"	"AGXT"	1	1
"280"	"AGXT2"	1	1
"281"	"AGXT2L2"	1	1
"282"	"AHCTF1"	7	4
"283"	"AHCY"	1	1
"284"	"AHCYL2"	1	1
"285"	"AHDC1"	2	1
"286"	"AHI1"	1	1
"287"	"AHNAK"	8	8
"288"	"AHNAK2"	10	7
"289"	"AHR"	1	1
"290"	"AHRR"	2	2
"291"	"AHSA1"	1	1
"292"	"AIDA"	2	1
"293"	"AIFM2"	2	2
"294"	"AIFM3"	1	1
"295"	"AIG1"	1	0
"296"	"AIM1"	7	6
"297"	"AIM1L"	2	1
"298"	"AIP"	1	1
"299"	"AIPL1"	1	1
"300"	"AJAP1"	2	2
"301"	"AK2"	1	1
"302"	"AK3L1"	1	1
"303"	"AK5"	2	2
"304"	"AK7"	2	1
"305"	"AKAP1"	2	2
"306"	"AKAP11"	5	3
"307"	"AKAP12"	3	2
"308"	"AKAP13"	5	5
"309"	"AKAP14"	1	1
"310"	"AKAP3"	2	1
"311"	"AKAP4"	6	6
"312"	"AKAP6"	6	6
"313"	"AKAP8"	1	1
"314"	"AKAP8L"	2	2
"315"	"AKAP9"	9	8
"316"	"AKD1"	4	2
"317"	"AKNA"	4	4
"318"	"AKNAD1"	1	1
"319"	"AKR1B1"	2	1
"320"	"AKR1B15"	1	1
"321"	"AKR1C1"	2	2
"322"	"AKR1C2"	2	1
"323"	"AKR1C3"	1	1
"324"	"AKR1C4"	1	1
"325"	"AKR1CL1"	1	1
"326"	"AKR7A3"	1	1
"327"	"AKR7L"	1	1
"328"	"AKT1"	10	10
"329"	"AKT2"	1	1
"330"	"AKT3"	3	1
"331"	"AKTIP"	1	1
"332"	"ALAS2"	3	3
"333"	"ALCAM"	2	2
"334"	"ALDH18A1"	1	1
"335"	"ALDH1A1"	2	2
"336"	"ALDH1A2"	1	1
"337"	"ALDH1A3"	3	3
"338"	"ALDH1B1"	1	1
"339"	"ALDH1L1"	2	2
"340"	"ALDH1L2"	4	3
"341"	"ALDH3B1"	3	3
"342"	"ALDH3B2"	2	2
"343"	"ALDH5A1"	1	1
"344"	"ALDH8A1"	5	3
"345"	"ALDH9A1"	1	1
"346"	"ALDOA"	4	4
"347"	"ALDOB"	2	2
"348"	"ALG1"	1	1
"349"	"ALG10"	1	0
"350"	"ALG10B"	4	4
"351"	"ALG11"	1	1
"352"	"ALG12"	1	1
"353"	"ALG13"	3	3
"354"	"ALG1L"	2	2
"355"	"ALG2"	2	2
"356"	"ALG5"	1	1
"357"	"ALG6"	1	1
"358"	"ALG8"	1	1
"359"	"ALG9"	1	1
"360"	"ALK"	4	1
"361"	"ALKBH1"	1	1
"362"	"ALKBH5"	2	2
"363"	"ALKBH7"	1	1
"364"	"ALKBH8"	1	0
"365"	"ALMS1"	3	3
"366"	"ALOX12"	2	2
"367"	"ALOX12B"	2	2
"368"	"ALOX5"	1	0
"369"	"ALOXE3"	5	2
"370"	"ALPI"	2	2
"371"	"ALPK1"	4	4
"372"	"ALPK2"	4	4
"373"	"ALPK3"	4	4
"374"	"ALPL"	1	1
"375"	"ALPP"	2	1
"376"	"ALPPL2"	3	3
"377"	"ALS2"	2	2
"378"	"ALS2CL"	3	3
"379"	"ALS2CR11"	2	1
"380"	"ALS2CR8"	2	2
"381"	"AMAC1"	2	2
"382"	"AMAC1L1"	2	1
"383"	"AMACR"	4	4
"384"	"AMBN"	1	1
"385"	"AMBP"	1	1
"386"	"AMBRA1"	4	4
"387"	"AMD1"	1	1
"388"	"AMDHD1"	2	2
"389"	"AMDHD2"	1	1
"390"	"AMELX"	1	0
"391"	"AMHR2"	2	2
"392"	"AMICA1"	3	3
"393"	"AMIGO1"	2	2
"394"	"AMIGO2"	1	1
"395"	"AMMECR1"	1	0
"396"	"AMOT"	1	1
"397"	"AMOTL1"	2	2
"398"	"AMPD1"	6	3
"399"	"AMPH"	2	2
"400"	"AMT"	2	1
"401"	"AMY2A"	1	1
"402"	"AMZ1"	1	0
"403"	"AMZ2"	2	2
"404"	"ANAPC1"	2	2
"405"	"ANAPC4"	1	0
"406"	"ANAPC5"	5	4
"407"	"ANAPC7"	2	2
"408"	"ANGEL1"	1	1
"409"	"ANGEL2"	1	1
"410"	"ANGPT1"	4	4
"411"	"ANGPT2"	1	1
"412"	"ANGPT4"	3	3
"413"	"ANGPTL1"	1	1
"414"	"ANGPTL3"	2	2
"415"	"ANGPTL5"	1	1
"416"	"ANGPTL6"	1	1
"417"	"ANK1"	9	7
"418"	"ANK2"	4	4
"419"	"ANK3"	12	12
"420"	"ANKAR"	5	4
"421"	"ANKFY1"	4	4
"422"	"ANKH"	2	2
"423"	"ANKHD1-EIF4EBP3"	3	2
"424"	"ANKK1"	3	2
"425"	"ANKLE1"	2	2
"426"	"ANKLE2"	2	2
"427"	"ANKMY1"	2	1
"428"	"ANKRD10"	1	1
"429"	"ANKRD11"	4	1
"430"	"ANKRD12"	7	4
"431"	"ANKRD13B"	1	1
"432"	"ANKRD13C"	2	1
"433"	"ANKRD13D"	1	1
"434"	"ANKRD16"	1	1
"435"	"ANKRD17"	6	5
"436"	"ANKRD18A"	2	2
"437"	"ANKRD18B"	2	2
"438"	"ANKRD2"	1	0
"439"	"ANKRD20A2"	1	0
"440"	"ANKRD20A4"	1	1
"441"	"ANKRD20B"	2	0
"442"	"ANKRD24"	3	2
"443"	"ANKRD26"	5	4
"444"	"ANKRD26P1"	1	1
"445"	"ANKRD28"	4	3
"446"	"ANKRD30A"	2	2
"447"	"ANKRD30B"	6	5
"448"	"ANKRD31"	2	2
"449"	"ANKRD32"	3	3
"450"	"ANKRD34A"	2	2
"451"	"ANKRD34B"	2	2
"452"	"ANKRD34C"	3	2
"453"	"ANKRD35"	2	2
"454"	"ANKRD40"	1	1
"455"	"ANKRD42"	1	1
"456"	"ANKRD50"	4	3
"457"	"ANKRD52"	1	0
"458"	"ANKRD53"	2	2
"459"	"ANKRD6"	4	4
"460"	"ANKRD60"	1	1
"461"	"ANKRD62"	4	4
"462"	"ANKRD7"	1	1
"463"	"ANKS1A"	1	1
"464"	"ANKS1B"	3	3
"465"	"ANKS4B"	2	1
"466"	"ANKS6"	1	1
"467"	"ANKZF1"	1	1
"468"	"ANLN"	2	2
"469"	"ANO10"	1	1
"470"	"ANO2"	3	3
"471"	"ANO3"	1	1
"472"	"ANO4"	1	1
"473"	"ANO5"	6	5
"474"	"ANO6"	1	1
"475"	"ANO7"	1	1
"476"	"ANO8"	3	2
"477"	"ANO9"	1	0
"478"	"ANP32C"	1	1
"479"	"ANP32E"	1	1
"480"	"ANPEP"	4	3
"481"	"ANTXR1"	1	1
"482"	"ANTXRL"	1	0
"483"	"ANUBL1"	2	2
"484"	"ANXA11"	1	1
"485"	"ANXA13"	3	1
"486"	"ANXA3"	1	1
"487"	"ANXA4"	1	1
"488"	"ANXA6"	2	2
"489"	"AOC2"	1	1
"490"	"AOC3"	2	1
"491"	"AOX1"	3	3
"492"	"AOX2P"	1	0
"493"	"AP1B1"	2	2
"494"	"AP1G1"	1	1
"495"	"AP1G2"	3	3
"496"	"AP1M2"	1	1
"497"	"AP1S3"	1	1
"498"	"AP2A1"	4	3
"499"	"AP2A2"	1	1
"500"	"AP2M1"	3	1
"501"	"AP3B1"	4	4
"502"	"AP3D1"	1	0
"503"	"AP3M1"	1	1
"504"	"AP3M2"	1	1
"505"	"AP4B1"	1	1
"506"	"AP4E1"	3	2
"507"	"AP4M1"	4	2
"508"	"APAF1"	1	1
"509"	"APBA1"	1	1
"510"	"APBA2"	3	2
"511"	"APBA3"	1	1
"512"	"APBB1IP"	1	1
"513"	"APBB2"	1	1
"514"	"APBB3"	1	1
"515"	"APC"	3	3
"516"	"APCDD1"	1	1
"517"	"APEX1"	1	1
"518"	"APEX2"	2	2
"519"	"APH1B"	1	1
"520"	"API5"	3	2
"521"	"APLF"	1	1
"522"	"APLNR"	2	2
"523"	"APLP1"	1	1
"524"	"APLP2"	2	1
"525"	"APOA5"	1	0
"526"	"APOB"	16	13
"527"	"APOB48R"	6	6
"528"	"APOBEC1"	1	1
"529"	"APOBEC2"	1	0
"530"	"APOBEC3A"	1	1
"531"	"APOBEC3B"	1	1
"532"	"APOBEC3G"	1	1
"533"	"APOBEC4"	1	1
"534"	"APOF"	1	1
"535"	"APOH"	2	1
"536"	"APOL1"	1	0
"537"	"APOL2"	2	2
"538"	"APOL5"	1	1
"539"	"APOLD1"	1	1
"540"	"APP"	2	1
"541"	"APPBP2"	1	1
"542"	"APPL1"	1	1
"543"	"APPL2"	1	1
"544"	"APTX"	3	3
"545"	"AQP10"	2	2
"546"	"AQP12A"	2	2
"547"	"AQP12B"	1	1
"548"	"AQP2"	1	1
"549"	"AQP4"	1	1
"550"	"AQP5"	1	1
"551"	"AQP7"	3	2
"552"	"AQP7P1"	1	0
"553"	"AQP7P2"	1	0
"554"	"AQPEP"	1	1
"555"	"AQR"	1	1
"556"	"AR"	4	3
"557"	"ARAF"	1	1
"558"	"ARAP1"	3	3
