,id.videoId,snippet.title,BATB,viewCount,likeCount,dislikeCount
27,75e33hp_GyM,Ishod Wair Vs Felipe Gustavo: BATB5 - Round 1,5,17671,115,5
28,AcADjKENhY0,Shane O'neill Vs Ryan Decenzo: BATB5 - Round 1,5,51492,300,5
29,sVPrQOXVCNc,Torey Pudwill Vs Evan Smith: BATB5 - Round 1,5,55347,334,4
30,FMGmEXE7ip0,Paul Rodriguez Vs Davis Torgerson: BATB5 - Round 1,5,17049,119,0
31,lC2fl0DtlZs,Ronnie Creager Vs Nick Tucker: BATB5 - Round 1,5,30878,168,1
0,uXviWEWkaAo,Best Of Battle at The Berrics 6: Highlights - BATB6,6,65716,449,5
1,QLYpudiZjQA,Moose Vs PJ Ladd: BATB6 - Round 3,6,125059,1635,9
2,RX37gFaxNx4,Matt Miller Vs Paul Rodriguez: BATB6 - Round 1,6,37577,211,1
3,ZJ4tEkjLdQk,Shane O'neill Vs Mike Mo Capaldi: BATB6 - 3rd Place Battle,6,62425,425,5
4,tym_A9RB7Gg,Mike Mo Capaldi Vs Austyn Gillette: BATB6 - Round 1,6,37771,199,0
5,ukBP__lkTrU,PJ Ladd Vs Paul Rodriguez: BATB6 - Championship Battle,6,805039,6441,101
6,8uIweiIG1Jw,Shane O'neill Vs Paul Rodriguez: BATB6 - Finals,6,272135,1570,20
7,FM6JBHoqQVs,Tom Asta Vs PJ Ladd: BATB6 - Round 2,6,24042,118,1
8,fSUEh_HcCBo,Chris Cole Vs Mike Mo Capaldi: BATB6 - Round 3,6,75763,376,11
9,q6LBISSo0Ow,Moose Vs Chaz Ortiz: BATB6 - Round 2,6,58079,349,1
10,ffhCD9EA8hw,Morgan Smith Vs Eric Koston: BATB6 - Round 2,6,61987,712,3
11,Db3AohzLm7s,Shane O'neill Vs Eric Koston: BATB6 - Round 3,6,129037,672,10
12,S175BQgtZiw,Nick Tucker Vs Torey Pudwill: BATB6 - Round 1,6,80045,428,9
13,e0cq8xWaGwc,Eric Koston Vs Dennis Busenitz: BATB6 - Round 1,6,45260,256,4
14,QyoxnrVmn7c,Manny Santiago Vs Sewa Kroetkov: BATB6 - Round 1,6,53976,305,2
15,gddKGHxf1Qo,PJ Ladd Vs Mike Mo Capaldi: BATB6 - Finals,6,107540,514,8
16,qHMC80rPnsE,Chaz Ortiz Vs Brad Cromer: BATB6 - Round 1,6,41785,211,4
17,VVwAnyd6I9g,Chris Cole Vs Keelan Dadd: BATB6 - Round 1,6,38104,261,3
18,id7EXKSRyDc,Torey Pudwill Vs Chris Cole: BATB6 - Round 2,6,74334,437,4
19,Fz0HkReMr8o,Wes Kremer Vs Sewa Kroetkov: BATB6 - Round 2,6,72262,439,4
20,FDyDLJNeI20,Tom Asta Vs Johnny Layton: BATB6 - Round 1,6,54512,221,4
21,RxMKrBBvYt0,Billy Marks Vs Mike Mo Capaldi: BATB6 - Round 2,6,16319,78,1
22,IMm3B8etpEM,Shane O'neill Vs Nyjah Huston: BATB6 - Round 2,6,163183,1029,14
23,H4MEulcgUTc,Moose Vs Bastien Salabanzi: BATB6 - Round 1,6,59553,349,3
24,WpzZa7pChs4,Carlos Ribeiro Vs PJ Ladd: BATB6 - Round 1,6,25857,127,0
25,wI4N18EYyts,Shane O'neill Vs Jereme Rogers: BATB6 - Round 1,6,63619,290,5
26,amXm848UsaU,Sewa Kroetkov Vs Paul Rodriguez: BATB6 - Round 3,6,116371,729,8
27,DBH8PZB7pOk,Felipe Gustavo Vs Paul Rodriguez: BATB6 - Round 2,6,62351,409,2
28,hMFW1RXEEjw,Felipe Gustavo Vs David Gonzalez: BATB6 - Round 1,6,58937,389,5
29,vJ4SDYqQLc0,Nyjah Huston Vs Trent McClung: BATB6 - Round 1,6,81400,444,4
30,D_0g7DwcCF4,Billy Marks Vs Cory Kennedy: BATB6 - Round 1,6,22693,95,5
31,i8jPt6jHk98,Ishod Wair Vs Wes Kremer: BATB6 - Round 1,6,98397,632,4
32,Q7gHTZ3ORHI,Davis Torgerson Vs Morgan Smith: BATB6 - Round 1,6,20741,113,0
0,wFUskr7S3nY,BATB: Classic Moment - Cody Cepeda's BATB7 Cinderella Story,7,18875,562,12
1,7qLWTyCjDYo,BATB7: Finals - Different Perspective,7,68470,1018,8
2,Cp4MJQNlGx0,Luan Oliveira Vs Cody Cepeda: BATB7 - Championship Battle,7,1496567,13083,416
3,ytBM4Q-9yJk,Eric Koston Vs Sewa Kroetkov: BATB7 - 3rd Place Battle,7,232526,1735,63
4,twa_OeIXXCM,Cody Cepeda Vs Sewa Kroetkov: BATB7 - Finals,7,336666,1800,58
5,EOvLN0RCa4E,Eric Koston Vs Luan Oliveira: BATB7 - Finals,7,1493659,10022,107
6,43h9usgmW1I,Tom Asta Vs Cody Cepeda: BATB7 - Round 3,7,245352,1444,20
7,CX9-L3JARB4,Mike Mo Capaldi Vs Sewa Kroetkov: BATB7 - Round 3,7,369637,2232,28
8,nnce9Mq_TGs,Eric Koston Vs Nick Holt: BATB7 - Round 3,7,639479,4688,196
9,XvMrXVx1Kk0,Luan Oliveira Vs Moose: BATB7 - Round 3,7,1188288,7830,95
10,sCREGb5ej8Q,Shane O'neill Vs Cody Cepeda: BATB7 - Round 2,7,1036683,6885,120
11,lnFs4cmYqQ8,Luan Oliveira Vs Chris Chann: BATB7 - Round 2,7,1114403,8006,172
12,aNUy2Jc5xIE,Paul Rodriguez Vs Moose: BATB7 - Round 2,7,256381,1527,71
13,jY4sOprKjt8,Morgan Smith Vs Nick Holt: BATB7 - Round 2,7,253316,1837,12
14,K7-GHWAtBGg,Sewa Kroetkov Vs Will Fyock: BATB7 - Round 2,7,305692,2023,18
15,uMIOzzYk68k,Tom Asta Vs Eric Martinac: BATB7 - Round 2,7,84743,682,1
16,qNP76LyJGhA,Nyjah Huston Vs Mike Mo Capaldi: BATB7 - Round 2,7,1712121,10458,208
17,mUhzmj-q1LA,Eric Koston Vs Griffin Gass: BATB7 - Round 2,7,187821,1174,28
18,GJUGk0IFYAE,PJ Ladd Vs Nick Holt: BATB7 - Round 1,7,448788,3080,37
19,5FBq0NLtSpM,Shane O'neill Vs Cristian Vannella: BATB7 - Round 1,7,332249,2147,24
20,YxG4g8cH26Y,Sewa Kroetkov Vs Moses Adams: BATB7 - Round 1,7,187429,1711,10
