,id.videoId,snippet.title,BATB,viewCount,likeCount,dislikeCount
7,eEjrcSDbFyE,BATB X | Before The Battle: Chris Joslin vs. Tom Asta,X,38718,995,15
8,c1n9p-S4Yx0,BATB: Classic Moment - Andrew Reynolds & Cyril Jackson,X,19619,422,10
9,4_nuCcvuHOY,BATB: Classic Moment - PJ Ladd Goes Back To Back,X,17259,435,3
10,olJhaX-uxaQ,BATB: Classic Moment - PJ Ladd and Moose's Unforgettable Battle,X,23050,743,5
11,eDpYgSCmg1o,BATB X | BATTLETALK: Week 9 - with Mike Mo and Chris Roberts,X,37184,757,18
12,5pDlL8737Kk,BATB X | This Weekend...,X,13528,354,7
13,ZLFKJdzlJ0s,BATB: Classic Moment - Mike Carroll vs. El Hardflip,X,30405,542,11
14,skN2QeOXlak,BATB X | Chris Cole vs. Nick Tucker - Round 2,X,268946,7162,216
15,g3_Cn1elQ8Q,BATB X | Before The Battle: Chris Cole vs. Nick Tucker,X,35326,920,11
16,KvRJjTsoCqs,BATB X | Will Fyock vs. Morgan Smith - Round 2,X,245732,6717,104
17,pZ3Nkwpv7VA,BATB X | Before The Battle: Will Fyock vs. Morgan Smith,X,42641,931,9
18,VLn3_NQelf0,BATB: Classic Moment - Chris Cole vs. Billy Marks,X,19143,495,7
19,3NTbihjR8P4,BATB: Classic Moment - Chris Chann Beats Chris Cole,X,27390,996,5
20,W7bn_b_ZUjM,BATB X | The Art of War with Paul Rodriguez,X,46138,2077,15
21,5VaEudSNRQk,BATB: Classic Moment - Gnarliest Game Ever,X,28061,562,16
22,ReSGUuxSszc,BATB X | This Weekend... Round 2 Begins,X,10760,177,18
23,T5_5QP5kaqk,BATB X | BATTLETALK: Week 8 - with Mike Mo and Chris Roberts,X,49007,1040,19
24,dYiJzy40GVk,BATB X | Round 1 Recap,X,46917,1550,11
26,6s4qjO1Ql8M,BATB: Classic Moment - Chris Cole vs. Mike Vallely: No Rules,X,25428,771,15
27,z_2PI5VNKOs,BATB X | Paul Rodriguez vs. Chris Colbourn - Round 1,X,354180,10796,221
28,Z05KZA8pbbE,BATB X | Before The Battle: Paul Rodriguez vs. Chris Colbourn,X,39466,964,10
29,DxB-EGpIK6U,BATB X | Luan Oliveira vs. Torey Pudwill - Round 1,X,456283,13290,137
30,uPw2iGGo-R8,BATB X | Before The Battle: Luan Oliveira vs. Torey Pudwill,X,88707,2458,22
31,yvMXWLKs098,BATB: Classic Moment - Luan vs. Torey: Highest Popped Game,X,46753,1393,14
32,1YMYNjsYugU,BATB: Classic Moment - P-Rod's Epic Comeback vs. PJ Ladd,X,27441,640,13
33,fOBZCuKFjjE,BATB X | This Weekend...,X,14992,476,4
35,jXK02YvWrvc,BATB: Classic Moment - Jimmy Goes Streaking,X,18311,564,12
36,OkI9mtFcFCk,BATB X | BATTLETALK: Week 7 - with Mike Mo and Chris Roberts,X,46904,960,34
37,KznlxfbsaC8,BATB X | Chris Joslin vs. Diego Najera - Round 1,X,360342,10221,137
38,qH-1Mw0vNGw,BATB X | Before The Battle: Chris Joslin vs. Diego Najera,X,46887,972,18
39,Fdlo8V8Eczs,BATB X | Chris Cole vs. Dennis Busenitz - Round 1,X,267973,6306,109
40,kxa6VMXcZsw,BATB X | Before The Battle: Chris Cole vs. Dennis Busenitz,X,44890,934,12
41,NSlZUed99IE,BATB X | Unsanctioned Battle: Daniel Lebron vs. Dane Burman & Jake Hayes,X,87701,2364,18
42,FfCthI1_tJU,BATB X | A Battle To Remember with Tom Remillard,X,45592,755,13
43,tOcryhxcbY0,BATB: Classic Moment - Diego Najera Puts On A Clinic,X,25251,625,8
45,k2EiV6v7lxc,BATB X | This Weekend...,X,21830,631,5
47,334r1jmgm1I,BATB X | BATTLETALK: Week 6 - with Mike Mo and Chris Roberts,X,52646,1335,28
48,vH-02npY7OU,BATB X | PJ Ladd vs. The Legion of Doom - Round 1,X,405463,13292,137
49,mRuaFg01eJs,BATB X | Before The Battle: PJ Ladd vs. Billy Marks,X,66504,1175,34
