	PX	PY	PZ	X	Y	Z	Reaction1	Reaction2	Reaction3	Reaction4	Reaction5	Reaction6	Reaction7	Reaction8	Reaction9	Reaction10	Reaction11	Reaction12
54.0	247.1622409307726	101.87334573714448	974.4474648622463	0.28922780256454006	1.7303605744975799	13.312879656827755	0.10023871794357973	0.5996972767825424	4.613892499632005	2.0047743588715945	11.993945535650846	92.27784999264011	17.131981044204295	7.061322237191021	67.54355128730523	0.08041487441336413	0.7949167702125959	4.033279773552032
56.0	218.68431965333707	113.89305503182968	1011.8383898123329	0.25735767664671155	2.1714483571306444	11.90990582888191	0.08919337398156309	0.7525666532383157	4.127658823011977	1.783867479631262	15.051333064766315	82.55317646023956	15.158041960038041	7.894464998067143	70.13529270807334	0.07676341762341174	1.000239834247163	3.320778494418177
58.0	193.56896794829868	130.81133252451662	1023.6779230185206	0.23827767650863443	2.7287475468354754	10.156581724351124	0.08258074983116734	0.9457118342744385	3.5200029931803245	1.6516149966233467	18.91423668548877	70.40005986360649	13.417178437726164	9.067150632465816	70.95594661417482	0.07568961083836795	1.2573686829083113	2.592687739809147
60.0	171.52546281248405	153.65660997172392	1010.2020082932968	0.22905318774219027	3.4265042486888997	8.275753587381079	0.0793837856408835	1.1875358795776922	2.8681576330510237	1.5876757128176702	23.750717591553844	57.36315266102048	11.889239094271305	10.65066459762996	70.02186738444931	0.0769148029591792	1.57579233825873	1.9320756473009186
62.0	152.27157261060864	183.64913170146565	974.4417237021253	0.22802778984513555	4.290349208547645	6.472064205890009	0.07902840981023572	1.4869217287611964	2.2430465283578003	1.5805681962047144	29.738434575223927	44.86093056715601	10.554661123447236	12.729587785115298	67.54315334041013	0.08041546747873804	1.9645912077912755	1.3873752412542144
64.0	135.54688839063374	222.17931429241256	921.3031542398132	0.23451749650547765	5.344829169099555	4.887832126584283	0.08127757074737432	1.8523766345679558	1.6939935287961088	1.6255514149474866	37.047532691359116	33.879870575922176	9.395394352164136	15.40029652805277	63.85986838023109	0.08638761533436368	2.430846069644527	0.9709059626734816
66.0	121.12115565733608	270.7459808912446	856.3998359138909	0.2486297448333563	6.609214136890415	3.590370618221418	0.08616850331728977	2.2905790723512616	1.2443276355927217	1.7233700663457954	45.81158144702524	24.88655271185444	8.395478755004476	18.7666813302703	59.361113169571325	0.0952389808519171	2.9772043398159354	0.6701846759232091
68.0	108.80018135805548	330.834491122756	785.0570239594317	0.271189923030484	8.091148517398208	2.585037707367598	0.09398726527242428	2.8041783911631746	0.8959057992514977	1.8797453054484856	56.08356782326349	17.918115985029957	7.541453895274687	22.931699475372255	54.41600627362615	0.10760296546617466	3.5985263839909782	0.4617998140411277
70.0	98.43020826416148	403.713085700336	711.7016209978244	0.30372590435743013	9.778040914144265	1.8390830653230168	0.10526337713418615	3.388810745519444	0.6373776207720954	2.105267542683723	67.77621491038887	12.747552415441907	6.822662134023175	27.983258710834345	49.33139719945847	0.12437155740598703	4.27786064952682	0.3213522914763981
72.0	89.90210878580899	490.1333934363541	639.6350226093062	0.3485280829897476	11.626896295443016	1.3037289465333128	0.12079062903515309	4.029575192924599	0.45183802175197674	2.4158125807030615	80.59150385849199	9.036760435039534	6.2315393231276985	33.97345797586872	44.336121250903744	0.1467473867916006	4.982496660392369	0.22828744407542845
74.0	83.15624969089995	589.9357475196082	571.0820235642248	0.40877636087789787	13.554498192605056	0.9289963307241222	0.1416710910110348	4.697631103054534	0.3219655936959799	2.833421820220696	93.9526220610907	6.439311873919598	5.763952001918613	40.89123001047401	39.58438945020106	0.176313476332629	5.66149909223982	0.1671529828098365
76.0	78.18868828176467	701.6011379845155	507.37010242339164	0.48871076298494937	15.431459845999992	0.671432236764541	0.16937424373615867	5.348136442089451	0.2327006809251996	3.387484874723173	106.96272884178903	4.654013618503993	5.4196268834185615	48.631285067161606	35.168215599518454	0.21512540186661855	6.246656567974434	0.12709945807329776
78.0	75.059202535145	821.8341157263369	449.1516246638971	0.5938734918917672	17.0847281265099	0.4966320604799711	0.20582086825703397	5.921115565761768	0.1721195562486841	4.11641736514068	118.42231131523535	3.4423911249736823	5.202707461231365	56.96520002036862	31.132818227969906	0.26582504460285905	6.658804216504954	0.10082894927243556
80.0	73.90184429765858	945.3144450309624	396.6085957469339	0.7314111006032876	18.313137927226876	0.3790107680617514	0.25348777110670767	6.346849960731355	0.13135512264193117	5.069755422134153	126.9369992146271	2.6271024528386233	5.122485501310211	65.52420423158009	27.49081299278263	0.3317777811017165	6.820641962902161	0.08356452284305557
82.0	74.93843964553469	1064.784587539859	349.6188429557442	0.9104405966853153	18.91862404491916	0.30033978805625494	0.31553466632987026	6.5566954584046515	0.10408983865058233	6.310693326597406	131.13390916809303	2.0817967730116465	5.194336815586399	73.80524347569376	24.233731526540435	0.4172301417431781	6.67544487296924	0.07223483070535602
84.0	78.49548955685256	1171.6282264605816	307.87922474358163	1.142472499085899	18.751409746402448	0.2480455649192965	0.3959507958043328	6.498743398621568	0.08596604198710461	7.919015916086655	129.97486797243135	1.7193208397420925	5.440892727300498	81.21108018356011	21.340561658399533	0.5274809681598579	6.208153868989126	0.06489162252793104
86.0	85.02460829996389	1257.0045761464928	270.9920804009614	1.4418681390273806	17.75992676384448	0.21368635100502717	0.4997134176530221	6.155121581654957	0.07405804586163871	9.994268353060441	123.10243163309914	1.4811609172327742	5.8934567521333685	87.12891779068904	18.78373964840004	0.6690472277919057	5.461079464427165	0.06031750484063385
88.0	95.12623174530754	1313.4148431890023	238.52127400362036	1.8262842588630421	16.026315613178905	0.19160571674261928	0.6329418924659634	5.554297741019394	0.06640548116965703	12.65883784931927	111.0859548203879	1.3281096233931406	6.593647933155188	91.03897954620396	16.533034857917563	0.8497988373657773	4.532958038578419	0.05777155911422861
90.0	109.57553276693329	1336.2912971293263	210.0285476578454	2.317030388801478	13.763811575818849	0.1782171223880032	0.8030215406347292	4.770173593768586	0.061765347955375555	16.060430812694584	95.40347187537174	1.2353069591075112	7.595197159575371	92.62465450119846	14.558069564613563	1.0790026605274026	3.5541209710673027	0.05682967941245423
92.0	129.3481708930069	1325.0212336486393	185.09555486475475	2.939176003329663	11.264814464386461	0.171303177968565	1.018640779938702	3.904087192760183	0.05936915741493468	20.372815598774043	78.08174385520365	1.1873831482986938	8.96573199650737	91.84347322856148	12.82984619886834	1.3671866338022998	2.645903801830627	0.05728760661654112
